place,ranking,lat,long,duration(h)
Cappella Brancacci,76,43.7673,11.2395,0.5
Basilica di Santo Spirito,94,43.767046,11.247929,0.5
Giardino Torrigiani,318,43.7645,11.2435,1.0
Ponte Vecchio,333,43.768009,11.253165,0.3
Museo Stibbert,425,43.792883,11.255175,1.5
Fondazione Salvatore Romano,908,43.7679,11.2484,0.5
Ponte Santa Trinità,1363,43.7683,11.2518,0.2
Torre de' Belfredelli,1579,43.7682,11.2525,0.2
Casa Guidi,1597,43.7592,11.2421,0.5
Torre dei Marsili,1745,43.7681,11.2530,0.2
Basilica di Santa Maria del Carmine,1868,43.768003,11.243903,0.5
