place,ranking,lat,long,duration(h)
Prague Jewish Museum,1,50.0880,14.4208,1.5
St Vitus Cathedral,2,50.0905,14.4024,1.5
Charles Bridge,3,50.0865,14.4114,1.0
Strahov Library,4,50.0780,14.3964,1.0
Municipal House,5,50.0880,14.4202,1.0
National Monument,6,50.0671,14.4214,1.0
Wenceslas Square,7,50.0773,14.4281,1.0
Prague Castle,8,50.0907,14.3981,2.0
Astronomical Clock,9,50.0836,14.4185,0.7
St Nicholas Church,10,50.0864,14.4129,0.8
Church of Our Lady Before Týn,11,50.0874,14.4204,0.8
Old Town Hall,12,50.0875,14.4207,1.0
Loreta,13,50.0885,14.3974,1.0
Old Town Square,14,50.0870,14.4200,1.0
Veletržní Palác,15,50.1071,14.4362,1.5
Petřín,20,50.0815,14.4036,1.5
Convent of St Agnes,21,50.0906,14.4217,1.0
Vyšehrad Citadel,22,50.0580,14.4195,1.5
Stromovka Park,23,50.1020,14.3989,1.5
Prague City Museum,25,50.0780,14.4204,1.0
Vyšehrad Cemetery,26,50.0602,14.4142,1.0
National Memorial to the Heroes of the Heydrich Terror,27,50.0771,14.4225,1.0
Church of St James,28,50.0876,14.4203,0.5
Museum of the Infant Jesus of Prague,29,50.0871,14.3956,0.7
Old Jewish Cemetery,35,50.0899,14.4212,0.7
National Museum,36,50.0755,14.4352,1.5
Old Town Hall Tower,40,50.0876,14.4202,0.7
Klementinum,41,50.0860,14.4162,1.0
Národní Třída,42,50.0780,14.4118,1.0
Old Royal Palace,43,50.0905,14.3986,1.0
John Lennon Wall,44,50.0882,14.3996,0.6
Wallenstein Garden,45,50.0903,14.3991,0.6
TV Tower,46,50.0910,14.4203,1.0
Strahov Monastery,47,50.0810,14.3965,1.0
Bethlehem Chapel,48,50.0788,14.4182,0.6
Letná Gardens,49,50.0986,14.4200,1.0
Powder Gate,50,50.0877,14.4226,0.7
Lobkowicz Palace,51,50.0890,14.3988,1.0
National Technical Museum,52,50.0957,14.4132,1.0
Nerudova,53,50.0857,14.3998,1.0
Smetana Museum,54,50.0875,14.4206,0.8
Franz Kafka Museum,55,50.0885,14.4000,1.0
Kampa,56,50.0882,14.3997,1.0
Malostranské Náměstí,57,50.0871,14.4014,0.8
Church of the Most Sacred Heart of Our Lord,58,50.0811,14.4201,0.6
Prague Zoo,59,50.1194,14.4077,2.0
Výstaviště Exhibition Grounds,60,50.1023,14.4216,1.0
Basilica of St George,61,50.0907,14.3981,0.6
Rotunda of St Martin,62,50.0883,14.4192,0.6
Týn Courtyard,63,50.0875,14.4194,0.6
Olšany Cemetery,64,50.0778,14.4589,1.0
Mucha Museum,65,50.0876,14.4203,0.7
Old-New Synagogue,66,50.0906,14.4197,0.7
Adria Palace,68,50.0861,14.4195,0.6
Kinský Palace,69,50.0877,14.4212,0.7
Lucerna Palace,70,50.0837,14.4208,0.7
Bílek Villa,71,50.0822,14.3917,0.7
Church of Our Lady of the Snows,72,50.0820,14.4185,0.5
Estates Theatre,73,50.0832,14.4195,0.8
Golden Lane,74,50.0905,14.3983,0.6
Charles Square,75,50.0735,14.4176,0.7
Royal Garden,76,50.0901,14.3982,0.6
Rudolfinum,77,50.0901,14.4211,0.7
Story of Prague Castle,78,50.0908,14.3989,1.0
Na Příkopě,81,50.0856,14.4215,0.7
Schwarzenberg Palace,83,50.0900,14.3977,0.6
Charles Bridge Museum,85,50.0866,14.4113,0.7
Karel Zeman Museum,87,50.0868,14.3985,0.7
Šternberg Palace,89,50.0911,14.3980,0.6
Slav Island,90,50.0881,14.4198,0.8
Wallenstein Palace,91,50.0913,14.3991,0.7
Černín Palace,94,50.0915,14.3992,0.7
Ball-Game House,95,50.0852,14.4214,0.6
Jan Žižka Statue,96,50.0750,14.4193,0.6
Palace Gardens Beneath Prague Castle,102,50.0916,14.3987,1.0
DOX Centre for Contemporary Art,103,50.1039,14.4161,1.5
Salm Palace,104,50.0889,14.4171,0.6
Czech Museum of Music,105,50.0833,14.4055,0.8
Prague Main Train Station,107,50.0877,14.4261,0.5
St Vitus Treasury,109,50.0903,14.3992,0.7
New Town Hall,110,50.0753,14.4218,0.6
Museum of Communism,114,50.0870,14.4196,1.0
Vrtbov Garden,116,50.0879,14.3983,0.6
New Jewish Cemetery,118,50.0852,14.4423,1.0
Great South Tower of St Vitus Cathedral,120,50.0907,14.3981,0.7
Church of the Holy Saviour,122,50.0845,14.4167,0.6
Václav Havel Library,123,50.0874,14.4209,0.6
KGB Museum,124,50.0869,14.4156,0.7
Pařížská,125,50.0892,14.4221,0.5
Church of St Nicholas,126,50.0857,14.4111,0.7
National Theatre,127,50.0830,14.4135,1.0
Kampa Museum,128,50.0880,14.3989,1.0
Dancing House,129,50.0874,14.4179,1.0
Museum of Decorative Arts,130,50.0853,14.4133,0.7
Mirror Maze,131,50.0909,14.4111,0.5
Old Town Bridge Tower,132,50.0865,14.4121,0.6
Brick Gate & Casements,133,50.0878,14.4217,0.5
Brownnosers (David Černý),135,50.0883,14.4138,0.5
Troja Chateau,139,50.1186,14.4105,1.0
Villa Müller,140,50.0874,14.3963,1.0
Werich Villa,141,50.0788,14.4018,0.7
Chapel of Mirrors,142,50.0781,14.4142,0.5
Mořský Svět,143,50.1016,14.4245,1.0
Prague Planetarium,146,50.0921,14.4232,1.0
National Museum New Building,147,50.0759,14.4349,1.5
Národopisné muzeum,151,50.0748,14.4341,0.6
Prague Castle Picture Gallery,152,50.0903,14.3987,0.8
Gothic Cellar,153,50.0875,14.4205,0.6
Jan Palach Square,154,50.0844,14.4213,0.7
Kůň (David Černý Sculpture),155,50.0856,14.4198,0.5
K (David Černý Sculpture),156,50.0904,14.4199,0.5
Faust House,157,50.0874,14.4203,0.6
Memorial to the Victims of Communism,158,50.0859,14.4201,0.6
Clam-Gallas Palace,159,50.0896,14.4207,0.6
Dvořák Museum,160,50.0867,14.4112,0.5
Daliborka,163,50.0874,14.3997,0.5
Quo Vadis (David Černý Sculpture),164,50.0864,14.4222,0.5
Jubilee (Jerusalem) Synagogue,165,50.0898,14.4203,0.7
Petřín Lookout Tower,166,50.0811,14.4009,0.8
Mánes Gallery,167,50.0887,14.4099,0.6
Strahov Picture Gallery,168,50.0804,14.3959,0.7
Franz Kafka Monument,169,50.0872,14.4189,0.5
Army Museum,170,50.0914,14.4130,0.6
Kafka's Grave,171,50.0883,14.4210,0.5
Staropramen Brewery,174,50.0781,14.4164,1.0
Křižík’s Fountain,175,50.0887,14.4142,0.6
Malá Strana Bridge Tower,176,50.0853,14.4119,0.7
Viola Building,178,50.0827,14.4131,0.6
Museum of Czech Cubism,180,50.0864,14.4171,0.7
Rašínovo nábřeží 78,181,50.0758,14.4180,0.5
U Kalicha,184,50.0855,14.4197,0.5
Rosenberg Palace,186,50.0879,14.4174,0.7
Toy Museum,187,50.0900,14.3995,0.6
