place,ranking,lat,long,duration(h)
Catedral de Valencia,54,39.475833,-0.375,1.0
Oceanogràfic València,60,39.4528,-0.3481,2.5
Iglesia de San Nicolás,90,39.47619,-0.37883,0.5
Museo del Patriarca,107,39.47243,-0.37291,0.5
La Lonja,115,39.4743,-0.3786,0.7
Museo de Bellas Artes,131,39.47934,-0.37074,1.5
Mercado Central,149,39.4734989,-0.3788958,0.5
Jardines del Turia,156,39.4801293,-0.3861094,2.0
Museo Nacional de Cerámica,197,39.4722,-0.3744,1.0
Puente de las Flores,398,39.4705,-0.3612,0.3
Nuestra Señora de los Desamparados,463,39.449995,-0.333361,0.5
La Almoina,476,39.4756,-0.3747,0.5
Ayuntamiento,483,39.4699,-0.3763,0.3
Bombas Gens,520,39.4861,-0.3887,1.0
Public Library of Valencia,522,39.47028,-0.38167,0.5
Monforte Gardens,532,39.4792,-0.3655,0.5
El Miguelete,533,39.4755,-0.3751,0.5
Estación del Norte,546,39.4656,-0.3774,0.3
Palacio del Marqués de Dos Aguas,587,39.4717,-0.3751,0.7
Palau de la Generalitat,616,39.4759,-0.3746,0.5
Museo de la Seda,788,39.4708,-0.3795,0.7
Museo Catedralicio Diocesano,973,39.4758,-0.375,0.5
Espai Vert,1001,39.4821,-0.3689,0.5
Centro Instructivo Musical,1180,39.4783,-0.3765,0.5
