place,ranking,lat,long,duration(h)
La Sagrada Família,1,41.4036,2.1744,2.5
La Rambla,2,41.3809,2.1927,1.5
Park Güell,4,41.4145,2.1527,2.5
Mercat de la Boqueria,7,41.3800,2.1736,0.5
Casa Batlló,9,41.3916,2.1649,1.2
La Pedrera,10,41.3954,2.1616,1.5
Fundació Joan Miró,11,41.3640,2.1481,1.5
Museu Nacional d’Art de Catalunya,18,41.3684,2.1526,2.0
La Catedral,19,41.3846,2.1765,1.0
Museu d’Història de Barcelona,24,41.3827,2.1769,1.0
Palau Güell,29,41.3786,2.1839,1.0
Reial Monestir de Santa Maria de Pedralbes,36,41.4005,2.1256,1.2
Barça Stadium Tour & Museum,38,41.3808,2.1228,2.0
MACBA,44,41.3826,2.1692,1.0
Museu Frederic Marès,47,41.3820,2.1779,1.0
CosmoCaixa,55,41.4099,2.1218,2.5
Casa Vicens,59,41.4033,2.1619,1.0
El Poblenou Platges,64,41.3944,2.2151,2.0
Museu d’Història de Catalunya,65,41.3792,2.1913,1.0
Museu Marítim,85,41.3749,2.1845,1.5
Poble Espanyol,337,41.3697,2.1513,2.5
Colònia Güell,338,41.3692,2.0333,1.5
Castell de Montjuïc,340,41.3631,2.1595,1.5
Tibidabo,341,41.4215,2.1182,2.0
MUHBA Refugi 307,342,41.4056,2.1732,1.0
Fundació Antoni Tàpies,343,41.3967,2.1630,1.5
Gran Teatre del Liceu,344,41.3810,2.1743,1.5
El Fòrum,349,41.4103,2.2176,2.0
Palau de la Generalitat,351,41.3837,2.1762,1.0
Museu del Disseny de Barcelona,352,41.3742,2.1885,1.5
Basílica de Santa Maria del Pi,354,41.3827,2.1741,0.8
Casa Amatller,355,41.3919,2.1645,1.0
Cementiri de Montjuïc,358,41.3634,2.1530,1.5
Recinte Modernista de Sant Pau,359,41.4127,2.1744,2.0
Basílica dels Sants Màrtirs Just i Pastor,362,41.3805,2.1850,0.5
L’Aquàrium,363,41.3762,2.1865,1.5
Pavelló Mies van der Rohe,364,41.3699,2.1509,1.0
Museu Etnològic,367,41.3753,2.1822,1.0
Sant Cugat del Vallès,368,41.0451,2.0851,2.0
Antic Hospital de la Santa Creu,370,41.3797,2.1676,1.0
Bellesguard,375,41.4137,2.1375,1.5
Jardins del Palau de Pedralbes,378,41.3977,2.1273,1.5
CaixaForum,379,41.3739,2.1465,1.5
Sinagoga Major,380,41.3824,2.1760,0.5
Palau Macaya,383,41.3972,2.1671,1.0
Museu Egipci,385,41.3963,2.1610,1.0
Museu de la Música,392,41.4132,2.1924,1.5
Palau del Lloctinent,395,41.3815,2.1785,0.8
Museu Can Framis,396,41.4084,2.1949,1.5
Museu d'Arqueologia de Catalunya,397,41.3779,2.1793,1.5
Font Màgica,399,41.3688,2.1535,1.0
Casa de l’Ardiaca,401,41.3819,2.1763,0.5
Basílica del Sagrat Cor de Jesús,402,41.4135,2.1331,1.5
Bunkers del Carmel,404,41.4180,2.1566,1.5
Parc Natural de Collserola,406,41.4200,2.1237,2.0
Església de Sant Miquel del Port,412,41.3762,2.1778,1.0
Museu d’Història de la Immigració de Catalunya,415,41.3800,2.1823,1.0
Plaça del Rei,416,41.3801,2.1768,0.5
Palau Baró de Quadras,417,41.3910,2.1615,1.0
Mosaïc de Miró,420,41.3802,2.1790,0.5
Via Sepulcral Romana,424,41.3790,2.1815,0.5
Casa de les Punxes,433,41.4043,2.1659,1.5
Mirador de Colom,437,41.3762,2.1791,1.0
Plaça de Sant Jaume,438,41.3800,2.1764,0.5
Moll d'Espanya,440,41.3750,2.1850,1.0
Mercat de Sant Antoni,448,41.3749,2.1633,1.0
Font de Canaletes,449,41.3809,2.1736,0.5
Parc d’Atraccions Tibidabo,450,41.4236,2.1195,2.0
Plaça Reial,451,41.3791,2.1859,0.5
Parc de la Creueta del Coll,452,41.4119,2.1495,1.5
El Call,455,41.3805,2.1760,1.0
Basílica de la Puríssima Concepció i Assumpció de Nostra Senyora,457,41.3835,2.1814,0.5
Basilica de la Mercè,458,41.3797,2.1840,0.5
Parc del Centre del Poblenou,459,41.4075,2.1980,1.5
Pavellons Güell,462,41.3784,2.1399,1.0
Museu del Modernisme Barcelona,464,41.3984,2.1645,1.5
Palau Moja,468,41.3845,2.1730,1.0
Institut d’Estudis Catalans,469,41.3870,2.1625,1.0
Museu del Perfum,470,41.3982,2.1792,1.0
Port Olímpic,471,41.3730,2.1911,1.5
Museu Blau,473,41.4137,2.2140,2.0
Palau Montaner,474,41.3942,2.1656,1.5
Gaudí Exhibition Center/Museu Diocesà,475,41.4049,2.1758,1.5
Torre de Collserola,478,41.4205,2.1279,1.5
Sala Fundación MAPFRE,484,41.3744,2.1719,1.0
Rambla del Raval,485,41.3751,2.1682,0.8
Casa Golferichs,487,41.3845,2.1576,1.0
Casa-Museu Gaudí,489,41.4133,2.1525,1.5
Observatori Fabra,491,41.4220,2.1265,1.5
Parc de Joan Miró,492,41.3685,2.1516,1.5
Església de Sant Joan,497,41.3984,2.1819,0.5
Cementiri del Poblenou,501,41.4050,2.2040,1.5
Casa Serra,503,41.3791,2.1800,1.0
Universitat de Barcelona,504,41.3879,2.1699,1.0
Col·legi d'Arquitectes,505,41.3830,2.1755,1.0
Birra 08,506,41.3873,2.1600,0.5
Fabra i Coats,508,41.4090,2.1870,1.5
Parròquia de Sant Andreu de Palomar,510,41.4345,2.1900,1.0
Museu Olímpic i de l'Esport,512,41.3784,2.1521,1.5
El Parque Fluvial del Besós,514,41.4476,2.2178,1.5
Temple d’August,516,41.3809,2.1800,0.5
G Experiència,519,41.3800,2.1850,1.0
Capella Reial de Santa Àgata,521,41.3813,2.1769,0.5
Fundació Fran Daurel,524,41.3787,2.1562,1.0
Telefèric del Port,525,41.3755,2.1840,1.5
Mercat de la Llibertat,526,41.4031,2.1600,1.0
Fàbrica del Sol,530,41.3876,2.2062,1.5
Museu de l’Eròtica,534,41.3800,2.1742,1.0
Edifici de Gas Natural,535,41.3805,2.1921,1.0
Nau Bostik,537,41.4105,2.1890,2.0
Palau de la Virreina,538,41.3800,2.1730,1.0
Casa Lleó Morera,540,41.3914,2.1655,1.0
Palau Episcopal,548,41.3752,2.1790,1.0
Platja de la Barceloneta,555,41.3784,2.1925,1.5
Estadi Olímpic Lluís Companys,556,41.3689,2.1549,2.0
Centre de Cultura Contemporània de Barcelona,559,41.3803,2.1791,1.5
Ajuntament,565,41.3807,2.1920,1.0
L’Anella Olímpica,566,41.3708,2.1576,1.5
Església de les Saleses,568,41.3887,2.1640,0.5
Església de Betlem,569,41.3820,2.1737,0.5
Torre Glòries,571,41.4020,2.1915,1.5
"Hash, Marihuana & Hemp Museum",573,41.3800,2.1749,1.0
Casa Comalat,574,41.4025,2.1623,1.0
Vil·la Joana,576,41.4147,2.1579,1.5
Peix,582,41.3729,2.1929,1.0
Parròquia de Sant Pacià,584,41.4262,2.1915,1.0
Fundació Suñol,585,41.3941,2.1642,1.5
Casa Calvet,586,41.3934,2.1640,1.0
Parc de la Pegaso,588,41.4268,2.1875,1.5
Museu de Cera,589,41.3796,2.1763,1.0
Platja de l'Eixample,590,41.3789,2.2011,1.5
Moll de la Fusta,596,41.3784,2.1845,1.0
Plaça de Catalunya,597,41.3809,2.1910,1.0
Platja de Sant Sebastià,598,41.3762,2.1921,1.5
Parc de l’Espanya Industrial,599,41.3683,2.1711,1.5
Dona i Ocell,601,41.3704,2.1544,1.0
Jardins de Mossèn Cinto de Verdaguer,602,41.3919,2.1551,1.5
Jardí Botànic,604,41.3685,2.1600,1.5
Palau Centelles,605,41.3813,2.1780,1.0
Plaça de Sant Josep Oriol,607,41.3806,2.1749,0.5
Palau Robert,609,41.3917,2.1630,1.5
Jardins de Joan Brossa,613,41.3674,2.1602,1.5
Pailebot de Santa Eulàlia,614,41.3751,2.1885,1.0
Passeig Marítim de la Barceloneta,615,41.3778,2.1946,1.5
Telefèric de Montjuïc,620,41.3689,2.1601,1.5
Col·legi de les Teresianes,622,41.3982,2.1503,1.0
Mirador del Palau Nacional,623,41.3681,2.1563,1.5
Centre Cívic Can Deu,626,41.4172,2.1525,1.0
Jardins de Laribal,627,41.3736,2.1534,1.0
Jardins del Mirador,638,41.4065,2.1255,1.0
El Cap de Barcelona,639,41.3831,2.1835,0.5
Centre de la Imatge,641,41.3808,2.1795,1.0
La Capella,647,41.3795,2.1793,0.5
Homenatge a la Natació,649,41.3790,2.1748,0.5
Plaça de la Sardana,652,41.3821,2.1850,0.5
Platja de la Mar Bella,664,41.3795,2.1965,1.5
Platja de la Nova Icària,665,41.3990,2.2023,1.5
Poblat Ibèric del Puig Castellar,706,41.4912,2.2256,2.0
Parc del Laberint d’Horta,739,41.4146,2.1519,2.0
Roman Walls,742,41.3810,2.1776,0.5
Domus de Sant Honorat,834,41.3835,2.1792,0.5
Palau de Mar,897,41.3796,2.1857,1.5
Col·lecció de Carrosses Fúnebres,939,41.3637,2.1714,1.0
Església de Sant Pau del Camp,1107,41.3784,2.1850,0.5
Plaça d’Espanya,1137,41.3685,2.1536,1.0
Espacio 88,1149,41.3849,2.1688,1.0
Pont del Bisbe,1168,41.3812,2.1764,0.5
Porta de Mar,1183,41.3811,2.1746,0.5
