place,ranking,lat,long,duration(h)
Museo del Prado,3,40.4138,-3.6922,2.5
Centro de Arte Reina Sofía,5,40.4073,-3.6920,2.0
Parque del Buen Retiro,6,40.4154,-3.6840,2.0
Museo Thyssen-Bornemisza,8,40.4195,-3.6926,2.0
Basílica de San Francisco El Grande,12,40.4136,-3.7103,1.0
Plaza de Toros Las Ventas,13,40.4531,-3.6654,1.5
Templo de Debod,14,40.4250,-3.7170,1.0
Museo Lázaro Galdiano,27,40.4559,-3.6871,1.5
Real Academia de Bellas Artes de San Fernando,30,40.4154,-3.7045,1.0
Plaza Mayor,31,40.4154,-3.7074,1.0
Palacio Real,46,40.4170,-3.7143,2.0
El Rastro,50,40.4113,-3.7080,2.0
Plaza de Santa Ana,79,40.4153,-3.7020,1.0
Ermita de San Antonio de la Florida,95,40.4232,-3.7355,1.0
Estadio Santiago Bernabéu,127,40.4531,-3.6883,1.5
Círculo de Bellas Artes,142,40.4195,-3.6937,1.5
Edificio Metrópolis,165,40.4199,-3.7030,1.0
Plaza de la Puerta del Sol,345,40.4168,-3.7038,1.0
Parque de Atracciones,346,40.3805,-3.0030,2.5
Plaza de Oriente,360,40.4186,-3.7114,1.0
Zoo Aquarium de Madrid,361,40.4155,-3.7317,2.0
Estación de Chamberí,382,40.4413,-3.6923,1.0
Teatro Real,384,40.4180,-3.7112,1.5
Iglesia de San Ginés,386,40.4152,-3.7052,0.5
Museo del Romanticismo,413,40.4297,-3.7126,1.5
Museo del Ferrocarril,419,40.4000,-3.7130,2.0
"Ateneo Científico, Literario y Artístico de Madrid",427,40.4143,-3.7057,1.0
Convento de las Descalzas Reales,430,40.4171,-3.7055,1.0
Sociedad General de Autores y Editores,436,40.4204,-3.7084,1.0
Casa de Correos,442,40.4167,-3.7034,0.5
Teleférico,444,40.4186,-3.7160,1.5
Matadero Madrid,454,40.4095,-3.7113,1.5
Catedral de Nuestra Señora de la Almudena,465,40.4147,-3.7115,1.5
Plaza de la Paja,488,40.4114,-3.7114,0.5
Casa de Campo,544,40.4134,-3.7605,2.5
Plaza de la Villa,567,40.4130,-3.7154,1.0
Museo Nacional de Ciencias Naturales,577,40.4350,-3.6923,2.0
Museo Nacional de Antropología,583,40.4266,-3.6923,1.5
Palacio de Cristal,617,40.4097,-3.7116,1.5
Carlos III Equestrian Statue,630,40.4099,-3.7152,1.0
Antigua Estación de Atocha,632,40.4091,-3.6922,1.5
Capilla del Obispo,633,40.4239,-3.7120,0.5
Barrio de las Letras,635,40.4137,-3.7055,1.5
Bear Statue,636,40.4154,-3.7085,0.5
El Ángel Caído,637,40.4195,-3.7074,1.0
Museo de América,644,40.4395,-3.7184,2.0
Plaza de la Cibeles,650,40.4238,-3.6932,1.0
Campo del Moro,653,40.4149,-3.7189,1.5
Viaduct & Calle de Segovia,660,40.4115,-3.7129,1.0
Casa de la Villa,668,40.4130,-3.7092,1.0
Museo Cerralbo,672,40.4242,-3.7111,1.5
Museo de San Isidro,677,40.4156,-3.7102,1.0
Real Fábrica de Tapices,679,40.4353,-3.7113,1.5
Plaza de Ramales,683,40.4171,-3.7054,0.5
Real Jardín Botánico,689,40.4139,-3.6922,1.5
Muralla Árabe,703,40.4144,-3.7184,1.0
Museo Sorolla,708,40.4300,-3.7080,1.5
Iglesia de San Pedro El Viejo,710,40.4211,-3.7077,0.5
Puerta de Alcalá,711,40.4199,-3.6891,1.0
Museo Naval,712,40.4181,-3.7114,1.5
Basílica de Nuestra Señora del Buen Consejo,715,40.4111,-3.6929,0.5
Palacio de Linares,736,40.4130,-3.7085,1.5
Iglesia de San Nicolás de los Servitas,745,40.4171,-3.7133,0.5
11 March 2004 Memorial,760,40.4274,-3.7225,0.5
Casa de los Lujanes,767,40.4186,-3.7098,0.5
Caixa Forum,773,40.4215,-3.7106,1.5
Congreso de los Diputados,776,40.4185,-3.7078,1.0
Casón del Buen Retiro,794,40.4117,-3.6876,1.0
Casa de Lope de Vega,797,40.4167,-3.7031,1.0
Biblioteca Nacional & Museo del Libro,801,40.4419,-3.6957,1.5
Museo de Cera,821,40.4205,-3.6980,1.0
Plaza de Olavide,858,40.4371,-3.7029,0.5
Cementerio de la Florida,886,40.4290,-3.7457,1.0
Museo Arqueológico Nacional,901,40.4397,-3.6921,2.0
Plaza de Neptuno,917,40.4184,-3.6949,1.0
Plaza de España,922,40.4233,-3.7120,1.5
Parque del Oeste,938,40.4233,-3.7274,1.5
Real Casa de la Panadería,942,40.4159,-3.7116,1.0
Iglesia de San Jerónimo El Real,990,40.4186,-3.7112,1.0
Museo al Aire Libre,999,40.4252,-3.7127,1.5
Museo Tifológico,1006,40.4182,-3.7036,1.0
Museo Nacional de Artes Decorativas,1013,40.4201,-3.6920,1.5
Convento de la Encarnación,1038,40.4226,-3.7112,1.0
Basílica de San Miguel,1042,40.4183,-3.7116,0.5
Convento de las Trinitarias,1081,40.4150,-3.7110,0.5
Convento del Corpus Cristi,1119,40.4125,-3.7105,0.5
CentroCentro,1141,40.4194,-3.7132,1.5
Palacio Gaviria,1145,40.4172,-3.7074,1.0
Museo Taurino,1146,40.4193,-3.7110,1.5
Casa Museo de Ratón Perez,1166,40.4197,-3.7050,0.5
Casa de Cisneros,1177,40.4157,-3.7118,0.5
Plaza de Lavapiés,1179,40.4101,-3.7017,0.5

