place,ranking,lat,long,duration(h)
Museo Archeologico Nazionale,20,40.8530,14.2465,1.5
Catacombe di San Gennaro,27,40.8584,14.2255,1.0
Museo di Capodimonte,32,40.8578,14.2397,2.0
Cappella Sansevero,37,40.8518,14.2477,1.0
Duomo,46,40.8522,14.2681,1.0
Complesso Monumentale di Santa Chiara,48,40.8537,14.2492,1.0
Gallerie d'Italia,56,40.8521,14.2550,1.0
Palazzo Reale,67,40.8459,14.2498,1.0
Pio Monte della Misericordia,78,40.8495,14.2544,1.0
Teatro San Carlo,159,40.8412,14.2506,1.5
Cimitero delle Fontanelle,161,40.8486,14.2154,1.0
Galleria Borbonica,237,40.8361,14.2479,1.5
Complesso Museale di Santa Maria delle Anime del Purgatorio ad Arco,310,40.8510,14.2532,1.0
Complesso Monumentale di San Lorenzo Maggiore,312,40.8546,14.2493,1.5
Ospedale degli Incurabili,323,40.8509,14.2290,1.0
Lungomare,324,40.8272,14.2475,1.5
Chiesa e Chiostro di San Gregorio Armeno,338,40.8505,14.2484,1.0
Castel dell'Ovo,342,40.8232,14.2460,1.0
Castel Nuovo,343,40.8441,14.2505,1.0
Villa Comunale,362,40.8320,14.2283,1.5
Piazza San Domenico Maggiore,363,40.8517,14.2537,0.5
Basilica Santa Maria della Sanità & Catacombe di San Gaudioso,364,40.8545,14.2434,1.0
Santissima Annunziata,376,40.8489,14.2535,1.0
Palazzo Mannajuolo,397,40.8433,14.2582,1.0
Mercato di Porta Nolana,402,40.8533,14.2594,0.5
Museo Diocesano di Napoli,410,40.8485,14.2522,1.0
Celanapoli,411,40.8499,14.2574,0.5
Università Metro Art Station,426,40.8512,14.2599,0.5
Via San Gregorio Armeno,443,40.8503,14.2491,0.5
Chiesa San Giovanni a Carbonara,445,40.8517,14.2520,1.0
Toledo Metro Station,454,40.8454,14.2527,0.5
Napoli Sotterranea,455,40.8494,14.2497,1.0
Chiesa del Gesù Nuovo,459,40.8511,14.2570,1.0
Piazza Bellini,465,40.8490,14.2582,0.5
Casa e Chiesa di Santa Maria Francesca delle Cinque Piaghe,499,40.8498,14.2485,0.5
Museo Civico Filangieri,501,40.8496,14.2557,1.0
Chiesa di Santa Maria del Carmine,508,40.8491,14.2539,0.5
Chiesa di San Domenico Maggiore,525,40.8497,14.2548,0.5
Porta San Gennaro,532,40.8531,14.2429,0.5
Laboratorio Oste,551,40.8543,14.2480,0.5
Piazza Dante,575,40.8505,14.2529,0.5
Complesso Monumentale dei Girolamini,579,40.8503,14.2512,1.0
Piazza del Plebiscito,580,40.8433,14.2477,1.0
Museo del Tesoro di San Gennaro,596,40.8546,14.2496,1.0
MADRE,603,40.8456,14.2541,1.5
Piazza del Gesù Nuovo,606,40.8504,14.2580,0.5
Borgo Marinaro,608,40.8283,14.2351,1.0
Museo Pignatelli,622,40.8369,14.2298,1.5
Chiesa di Sant'Anna dei Lombardi,625,40.8452,14.2588,1.0
Piazzetta Nilo,632,40.8530,14.2535,0.5
Chiesa di San Giovanni a Mare,653,40.8519,14.2547,1.0
Chiesa di San Pietro a Maiella,656,40.8491,14.2589,1.0
Chiesa di Sant'Eligio Maggiore,659,40.8494,14.2506,1.0
Biblioteca Nazionale di Napoli,691,40.8544,14.2469,1.0
Museo del Tessile e dell’Abbigliamento Elena Aldobrandini,707,40.8540,14.2487,1.0
Lello Esposito,711,40.8453,14.2496,0.5
Via Chiaia,713,40.8412,14.2493,0.5
Chiesa di Santa Teresa a Chiaia,733,40.8390,14.2471,0.5
