place,ranking,lat,long,duration(h)
Staatsoper,3,48.2025,16.3705,1.5
Stephansdom,5,48.2064,16.3705,1.0
Rathaus,7,48.2082,16.3707,1.0
Mozarthaus Vienna,8,48.2043,16.3722,1.0
MuseumsQuartier,10,48.2031,16.3581,1.5
Kaiserliche Schatzkammer,11,48.2061,16.3704,1.0
Albertina,12,48.2025,16.3706,1.0
Karlskirche,13,48.1995,16.3738,1.0
Museum Judenplatz,14,48.2104,16.3700,0.7
Hofburg,15,48.2064,16.3695,1.5
Naturhistorisches Museum,16,48.2075,16.3596,1.5
Schloss Schönbrunn,18,48.1846,16.3124,2.0
Kunsthistorisches Museum Vienna,19,48.2037,16.3600,1.5
Secession,21,48.1967,16.3681,0.7
Literaturmuseum,25,48.2046,16.3730,0.7
Haus der Musik,30,48.2017,16.3733,1.0
Neue Burg Museums,38,48.2060,16.3702,1.0
Kaiserappartements,39,48.2061,16.3695,1.0
Leopold Museum,47,48.2050,16.3591,1.0
MUMOK,49,48.2043,16.3605,1.0
Naschmarkt,51,48.1965,16.3681,1.0
Nationalbibliothek Prunksaal,52,48.2073,16.3681,0.8
Stadtbahn Pavillons,56,48.2067,16.3705,0.5
Klimt Villa,57,48.2539,16.3961,0.8
Jesuitenkirche,60,48.2039,16.3685,0.5
Beethoven Pasqualatihaus,61,48.2014,16.3669,0.7
Third Man Museum,63,48.2043,16.3706,1.0
Minoritenkirche,64,48.2042,16.3695,0.5
Tiergarten,65,48.2025,16.3328,2.0
Schloss Schönbrunn Gardens,67,48.1846,16.3124,1.5
Palais Liechtenstein,68,48.2167,16.3575,0.8
Holocaust-Denkmal,69,48.2063,16.3735,0.5
Volksgarten,70,48.2053,16.3681,0.5
Uhren Museum,71,48.2089,16.3725,0.5
University Main Building,72,48.2105,16.3701,1.0
Brotfabrik,73,48.2096,16.3552,0.6
Graben,74,48.2069,16.3702,0.8
Römer Museum,76,48.2058,16.3709,0.6
Westlicht,77,48.2091,16.3578,0.5
Josephinum,78,48.2053,16.3687,0.6
Kapuzinergruft,79,48.2050,16.3686,0.5
Akademie der Bildenden Künste,81,48.2051,16.3669,0.7
Hofmobiliendepot,82,48.2032,16.3661,1.0
Otto Wagner Buildings,84,48.2084,16.3601,0.8
Sigmund Freud Museum,85,48.2139,16.3692,0.7
Bethaus,87,48.2056,16.3731,0.5
Burgtheater,88,48.2078,16.3722,1.0
Esperantomuseum,91,48.2137,16.3619,0.6
Haus des Meeres,94,48.1901,16.3755,1.0
Kirche am Steinhof,95,48.2111,16.3131,1.0
Papyrusmuseum,96,48.2012,16.3723,0.6
Hermesvilla,97,48.1841,16.3055,1.0
Stadttempel,99,48.2075,16.3709,0.5
Schubert Geburtshaus,100,48.2076,16.3777,0.6
Globenmuseum,101,48.2072,16.3725,0.5
Votivkirche,102,48.2119,16.3702,0.7
Donnerbrunnen,104,48.2115,16.3701,0.5
TheaterMuseum,105,48.2068,16.3709,0.6
Haus der Geschichte Österreich,107,48.2048,16.3754,0.7
Servitenkirche,109,48.2083,16.3585,0.6
Palais Epstein,110,48.2021,16.3707,0.5
Schottenkirche,111,48.2107,16.3712,0.5
Postsparkasse,112,48.2060,16.3740,0.7
Technisches Museum,114,48.1795,16.3194,1.0
Ankeruhr,116,48.2086,16.3709,0.5
Fleischmarkt,119,48.2063,16.3734,0.6
Sisi Museum,124,48.2064,16.3694,0.8
Justizpalast,125,48.2101,16.3700,0.6
Zoom,126,48.2069,16.3669,0.8
Burggarten,127,48.2065,16.3707,0.7
Cathedral South Tower,129,48.2064,16.3701,0.8
Loos Haus,133,48.2016,16.3689,0.6
Jüdisches Museum,136,48.2097,16.3701,0.7
Palmenhaus,137,48.2045,16.3708,0.6
Am Hof,139,48.2073,16.3704,0.5
Augustinerkirche,140,48.2059,16.3699,0.5
Kindermuseum,141,48.1839,16.3094,1.0
Dokumentationsarchiv des Österreichischen Widerstandes,143,48.2092,16.3664,0.7
Franziskanerkirche,145,48.2105,16.3681,0.5
Kirche Am Hof,146,48.2065,16.3691,0.5
Kunsthalle Wien,147,48.1984,16.3587,0.6
Palais Daun-Kinsky,149,48.2063,16.3689,0.5
Schubert Sterbewohnung,153,48.2102,16.3671,0.5
Burgkapelle,154,48.2061,16.3688,0.5
Neptunbrunnen,155,48.2025,16.3713,0.5
Maria am Gestade,158,48.2082,16.3703,0.5
Architekturzentrum Wien,159,48.2021,16.3691,0.5
Dominikanerkirche,161,48.2045,16.3705,0.5
Stephansdom Katakomben,162,48.2062,16.3703,0.7
Österreichische Akademie der Wissenschaften,163,48.2079,16.3702,0.6
